"filename", "language", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\addLoan.js", "JavaScript", 59, 0, 0, 1, 5, 65
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\addProduct.js", "JavaScript", 49, 0, 0, 0, 7, 56
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\getAgentFeedback.js", "JavaScript", 42, 0, 0, 0, 1, 43
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\getFarmerFeedback.js", "JavaScript", 42, 0, 0, 0, 1, 43
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\getFarmerInfo.js", "JavaScript", 136, 0, 0, 0, 9, 145
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\getReports.js", "JavaScript", 5, 0, 0, 0, 0, 5
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\getReportsPost.js", "JavaScript", 8, 0, 0, 0, 0, 8
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\upReport.js", "JavaScript", 46, 0, 0, 1, 7, 54
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\upReportPage.js", "JavaScript", 11, 0, 0, 0, 4, 15
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\updateAgent.js", "JavaScript", 99, 0, 0, 0, 5, 104
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\updateBudget.js", "JavaScript", 89, 0, 0, 2, 7, 98
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\updatePrice.js", "JavaScript", 126, 0, 0, 3, 8, 137
"d:\Documents\2-2\CSE216\Pushti\controller\adminController\updateTax.js", "JavaScript", 99, 0, 0, 0, 6, 105
"d:\Documents\2-2\CSE216\Pushti\controller\agentTransaction\agentSellController.js", "JavaScript", 2, 0, 0, 0, 0, 2
"d:\Documents\2-2\CSE216\Pushti\controller\agentTransaction\agentUpdatePhoto.js", "JavaScript", 90, 0, 0, 3, 8, 101
"d:\Documents\2-2\CSE216\Pushti\controller\agentTransaction\getBuyerInteractiveSell.js", "JavaScript", 47, 0, 0, 0, 7, 54
"d:\Documents\2-2\CSE216\Pushti\controller\agentTransaction\getFarmerTypeProducts.js", "JavaScript", 6, 0, 0, 0, 0, 6
"d:\Documents\2-2\CSE216\Pushti\controller\buyerInserter.js", "JavaScript", 1, 0, 0, 58, 6, 65
"d:\Documents\2-2\CSE216\Pushti\controller\buyerRegisterController.js", "JavaScript", 3, 0, 0, 1, 2, 6
"d:\Documents\2-2\CSE216\Pushti\controller\farmer\farmerUpdateInfo.js", "JavaScript", 78, 0, 0, 60, 16, 154
"d:\Documents\2-2\CSE216\Pushti\controller\farmer\farmerUpdatePhoto.js", "JavaScript", 86, 0, 0, 3, 8, 97
"d:\Documents\2-2\CSE216\Pushti\controller\gatherAgentInfo.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Documents\2-2\CSE216\Pushti\controller\gatherFarmerInfo.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Documents\2-2\CSE216\Pushti\controller\registerController.js", "JavaScript", 3, 0, 0, 1, 1, 5
"d:\Documents\2-2\CSE216\Pushti\controller\registerIsPendingRequest.js", "JavaScript", 61, 0, 0, 0, 9, 70
"d:\Documents\2-2\CSE216\Pushti\controller\requestInserter.js", "JavaScript", 2, 0, 0, 72, 8, 82
"d:\Documents\2-2\CSE216\Pushti\index.js", "JavaScript", 12, 0, 0, 0, 1, 13
"d:\Documents\2-2\CSE216\Pushti\middlewares\buyerRegisterInputValidator.js", "JavaScript", 39, 0, 0, 15, 6, 60
"d:\Documents\2-2\CSE216\Pushti\middlewares\farmerChangePasswordValidator.js", "JavaScript", 27, 0, 0, 1, 4, 32
"d:\Documents\2-2\CSE216\Pushti\middlewares\isBuyerValid.js", "JavaScript", 4, 0, 0, 0, 0, 4
"d:\Documents\2-2\CSE216\Pushti\middlewares\registerInputValidator.js", "JavaScript", 46, 0, 0, 15, 6, 67
"d:\Documents\2-2\CSE216\Pushti\package-lock.json", "JSON", 0, 612, 0, 0, 0, 612
"d:\Documents\2-2\CSE216\Pushti\package.json", "JSON", 0, 4, 0, 0, 0, 4
"d:\Documents\2-2\CSE216\Pushti\routes\adminRoute.js", "JavaScript", 16, 0, 0, 0, 0, 16
"d:\Documents\2-2\CSE216\Pushti\routes\agentRoute.js", "JavaScript", 2, 0, 0, 0, 0, 2
"d:\Documents\2-2\CSE216\Pushti\routes\farmerRoute.js", "JavaScript", 4, 0, 0, 0, 0, 4
"d:\Documents\2-2\CSE216\Pushti\views\adminAddLoan.ejs", "HTML", 0, 0, 256, 1, 6, 263
"d:\Documents\2-2\CSE216\Pushti\views\adminAddProduct.ejs", "HTML", 0, 0, 239, 1, 6, 246
"d:\Documents\2-2\CSE216\Pushti\views\adminCombinedReports.ejs", "HTML", 0, 0, 377, 0, 14, 391
"d:\Documents\2-2\CSE216\Pushti\views\adminDashboard.ejs", "HTML", 0, 0, 41, 0, 0, 41
"d:\Documents\2-2\CSE216\Pushti\views\adminFarmerInfo.ejs", "HTML", 0, 0, 423, 1, 18, 442
"d:\Documents\2-2\CSE216\Pushti\views\adminUpReport.ejs", "HTML", 0, 0, 335, 1, 13, 349
"d:\Documents\2-2\CSE216\Pushti\views\adminUpdateAgent.ejs", "HTML", 0, 0, 450, 1, 16, 467
"d:\Documents\2-2\CSE216\Pushti\views\adminUpdateBudget.ejs", "HTML", 0, 0, 383, 1, 14, 398
"d:\Documents\2-2\CSE216\Pushti\views\adminUpdatePrice.ejs", "HTML", 0, 0, 279, 1, 6, 286
"d:\Documents\2-2\CSE216\Pushti\views\adminUpdateTax.ejs", "HTML", 0, 0, 299, 1, 8, 308
"d:\Documents\2-2\CSE216\Pushti\views\agentBuyPage.ejs", "HTML", 0, 0, 88, 0, 3, 91
"d:\Documents\2-2\CSE216\Pushti\views\agentDashboard.ejs", "HTML", 0, 0, 140, 0, 3, 143
"d:\Documents\2-2\CSE216\Pushti\views\agentSellPage.ejs", "HTML", 0, 0, 78, 0, 3, 81
"d:\Documents\2-2\CSE216\Pushti\views\farmerDashboard.ejs", "HTML", 0, 0, 75, 0, 5, 80
"d:\Documents\2-2\CSE216\Pushti\views\farmerUpdateInfo.ejs", "HTML", 0, 0, 208, 1, 6, 215
"d:\Documents\2-2\CSE216\Pushti\views\inventoryStatus.ejs", "HTML", 0, 0, 1, 0, 0, 1
"d:\Documents\2-2\CSE216\Pushti\views\layout.ejs", "HTML", 0, 0, 1, 0, 0, 1
"d:\Documents\2-2\CSE216\Pushti\views\register.ejs", "HTML", 0, 0, 129, -50, 3, 82
"d:\Documents\2-2\CSE216\Pushti\views\registerBuyer.ejs", "HTML", 0, 0, 53, 0, 0, 53
"d:\Documents\2-2\CSE216\Pushti\views\request.ejs", "HTML", 0, 0, 1, 0, 0, 1
"d:\Documents\2-2\CSE216\Pushti\views\sendFeedbackAgent.ejs", "HTML", 0, 0, 1, 0, 0, 1
"d:\Documents\2-2\CSE216\Pushti\views\sendFeedbackFarmer.ejs", "HTML", 0, 0, -24, 0, 0, -24
"d:\Documents\2-2\CSE216\Pushti\views\showAgentFeedback.ejs", "HTML", 0, 0, 209, 1, 5, 215
"d:\Documents\2-2\CSE216\Pushti\views\showBuyHistory.ejs", "HTML", 0, 0, 1, 0, 0, 1
"d:\Documents\2-2\CSE216\Pushti\views\showFarmerFeedback.ejs", "HTML", 0, 0, 210, 1, 5, 216
"d:\Documents\2-2\CSE216\Pushti\views\showFarmerTransactions.ejs", "HTML", 0, 0, -24, 0, 0, -24
"d:\Documents\2-2\CSE216\Pushti\views\showSellHistory.ejs", "HTML", 0, 0, 1, 0, 0, 1
"d:\Documents\2-2\CSE216\Pushti\views\temp.ejs", "HTML", 0, 0, 1, 0, 0, 1
"Total", "-", 1342, 616, 4231, 197, 276, 6662